"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","242","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserVerifyUpdatedAt","Verify user updatedAt time",""
"passed","Thu Oct 24 10:46:58 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","255","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserVerifyData","Verify user data after update",""
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","65","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyUserData","Verify user data in list",""
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","82","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyNumberOfUsers","Verify number of users returned",""
"passed","Thu Oct 24 10:46:58 GMT 2024","Thu Oct 24 10:46:58 GMT 2024","280","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserSuccess","Verify user creation successful",""
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","99","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersPageNotExistent","Fetch user list for non-existent page",""
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","70","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifySupportInfo","Verify support info in list",""
"passed","Thu Oct 24 10:46:58 GMT 2024","Thu Oct 24 10:46:58 GMT 2024","289","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserVerifyCreatedAt","Verify user createdAt time",""
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","58","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersSuccessResponse","Verify listing of users successful",""
"passed","Thu Oct 24 10:46:58 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","256","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserVerifyData","Verify user creation data",""
"passed","Thu Oct 24 10:46:58 GMT 2024","Thu Oct 24 10:46:58 GMT 2024","535","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createTheSameUserTwice","Verify user with the same data can be created twice",""
"passed","Thu Oct 24 10:46:59 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","64","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyPagination","Verify pagination data in user list",""
"passed","Thu Oct 24 10:46:58 GMT 2024","Thu Oct 24 10:46:59 GMT 2024","271","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserSuccess","Verify user updated successfully",""
